Company Name,Company Description,Logo Path,Original Link,Country,Founded,Industry,Sector,Employees,CEO,Address,Phone,Website,Ticker Symbol,Exchange,Fiscal Year,Reporting Currency,CIK Code,CUSIP Number,ISIN Number,SIC Code,IPO Date,Stock Type,Employer ID,IPO Price,Share Class
Haleon plc,"Haleon plc, together with its subsidiaries, engages in the research, development, manufacture, and sale of various consumer healthcare products in North America, Europe, the Middle East, Africa, Latin America, and the Asia Pacific.
The company provides oral health products, such as toothpastes, mouth washes, and denture care products under the Sensodyne, Polident, Parodontax, Biotene brands; and vitamins, minerals, and supplements under Centrum, Emergen-C, Caltrate brands.
It also offers various over-the-counter products comprising nasal drops, and cold, flu, and allergy relief products under Otrivine, Theraflu, and Flonase brands for respiratory issues; anti-inflammatory and pain relief products under Voltaren, Panadol, and Advil brands; and antacids and antihistamine products under TUMS, ENO, and Fenistil brands for digestive health and other issues.
The company was formerly known as DRVW 2022 plc and changed its name to Haleon plc in February 2022. Haleon plc was founded in 1715 and is headquartered in Weybridge, the United Kingdom.",Data/company_logos_stock_analysis\Haleon_plc_logo.svg,https://stockanalysis.com/stocks/hln/,United Kingdom,2022,Drug Manufacturers - Specialty & Generic,Healthcare,"25,408",Brian McNamara,"The Heights, Building 5, First Floor
Weybridge, KT13 0NY
United Kingdom",44 1932 822000,haleon.com,HLN,NYSE,January - December,GBP,0001900304,405552100,US4055521003,2844,,,,,
Zoetis Inc.,"Zoetis Inc. engages in the discovery, development, manufacture, and commercialization of animal health medicines, vaccines, and diagnostic products and services in the United States and internationally.
The company commercializes products primarily across species, including livestock, such as cattle, swine, poultry, fish, and sheep and others; and companion animals comprising dogs, cats, and horses.
It also offers parasiticides, vaccines, dermatology, other pharmaceutical, anti-infectives, animal health diagnostics, and medicated feed additives.
In addition, the company provides animal health diagnostics, including point-of-care diagnostic products, instruments and reagents, rapid immunoassay tests, reference laboratory kits and services, and blood glucose monitors; and other non-pharmaceutical products, which include nutritionals, as well as products and services in biodevices, genetic tests, and precision animal health.
It markets its products to veterinarians, livestock producers, and pet owners. The company has collaboration Blacksmith Medicines, Inc. to discover and develop novel antibiotics for animal health.
Zoetis Inc. was founded in 1952 and is headquartered in Parsippany, New Jersey.",Data/company_logos_stock_analysis\Zoetis_Inc._logo.svg,https://stockanalysis.com/stocks/zts/,United States,1952,Drug Manufacturers - Specialty & Generic,Healthcare,"14,100",Kristin Peck,"10 Sylvan Way
Parsippany, New Jersey 07054
United States",973 822 7000,zoetis.com,ZTS,NYSE,January - December,USD,0001555280,98978V103,US98978V1035,2834,"Feb 1, 2013",Common Stock,46-0696167,,
Vertex Pharmaceuticals Incorporated,"Vertex Pharmaceuticals Incorporated, a biotechnology company, engages in developing and commercializing therapies for treating cystic fibrosis (CF).
It markets TRIKAFTA/KAFTRIO for people with CF with at least one F508del mutation for 2 years of age or older; SYMDEKO/SYMKEVI for people with CF for 6 years of age or older; ORKAMBI for CF patients 1 year or older; and KALYDECO for the treatment of patients with 1 year or older who have CF with ivacaftor.
The company’s pipeline includes VX-522, a CFTR mRNA therapeutic designed to treat the underlying cause of CF, which is in Phase 1 clinical trial; VX-548, a non-opioid medicine for the treatment of acute and neuropathic pain which is in Phase 3 clinical trial; Exa-cel, for the treatment of sickle cell disease and transfusion-dependent beta thalassemia which is in Phase 2/3 clinical trial.
In addition, it provides inaxaplin for the treatment of APOL1-mediated focal segmental glomerulosclerosis and co-morbidities, such as hypertension which is in single Phase 2/3; VX- 880 and VX-264, treatment for Type 1 Diabetes which is in Phase 1/2 clinical trial; VX-970, which is in Phase 2 clinical trial for the treatment of cancer; and VX-803 and VX-984 for treatment of cancer in Phase 1 clinical trial.
Further, it sells the products to specialty pharmacy and specialty distributors in the United States, as well as retail pharmacies, hospitals, and clinics.
Additionally, the company has collaborations with CRISPR Therapeutics AG.; Moderna, Inc.; Entrada Therapeutics, Inc.; Arbor Biotechnologies, Inc.; Mammoth Biosciences, Inc.; and Verve Therapeutics., as well as collaborations with Tevard Biosciences to develop novel tRNA-based therapies for duchenne muscular dystrophy.
Vertex Pharmaceuticals Incorporated was founded in 1989 and is headquartered in Boston, Massachusetts.",Data/company_logos_stock_analysis\Vertex_Pharmaceuticals_Incorporated_logo.svg,https://stockanalysis.com/stocks/vrtx/,United States,1989,Biotechnology,Healthcare,"5,400",Reshma Kewalramani,"50 Northern Avenue
Boston, Massachusetts 02210
United States",617 341 6100,vrtx.com,VRTX,NASDAQ,January - December,USD,0000875320,92532F100,US92532F1003,2834,"Jul 24, 1991",,04-3039129,,
BioNTech SE,"BioNTech SE, a biotechnology company, develops and commercializes immunotherapies for cancer and other infectious diseases.
The company is developing FixVac product candidates, including BNT111, which is in Phase II clinical trial for advance melanoma; BNT112 that is in Phase I/IIa clinical trial for prostate cancer; BNT113, which is in Phase II clinical trial to treat HPV 16+ head and neck cancers; BNT114 to treat triple negative breast cancer; BNT115, which is in Phase I clinical trial in ovarian cancer; and BNT116, which is in Phase I clinical trial for non-small cell lung cancer.
It develops BNT122, which is in Phase II clinical trial for first-line melanoma and in Phase I clinical trial to treat multiple solid tumors; BNT131 that is in Phase I clinical trial for multiple solid tumors; BNT141 and BNT142 that are in Phase I clinical trial to treat multiple solid tumors; BNT151, BNT152, and BNT153 to treat solid tumors; BNT211 to treat multiple solid tumors, and BNT221 for pancreatic and other cancers; BNT311 which are in Phase II clinical trial to treat metastatic non-small cell lung cancer and Phase I/II clinical trial to treat multiple solid tumors; and BNT312, which is in Phase 2 clinical trial to treat multiple solid tumors, as well as ONC-392, which is in Phase III clinical trial to treat ovarian cancer and Phase I/II clinical trial to treat multiple solid tumors.
It develops BNT321, an IgG1 monoclonal antibody in Phase I clinical trial for pancreatic cancer; BNT411, a small molecule immunomodulator product candidate in Phase I clinical trial for solid tumors; BNT322, which is in Phase I/Ib clinical trial for multiple solid tumors; and prophylactic vaccine for shingles, malaria, tuberculosis, HSV-2, and other infectious diseases.
It has collaborations with Genentech, Inc.; Sanofi S.A.; Genmab A/S; Pfizer Inc.; Shanghai Fosun Pharmaceutical (Group) Co., Ltd; and Ryvu Therapeutics S.A, as well as strategic partnership the Coalition for Epidemic Preparedness Innovations (CEPI) to strengthen africa’s mrna vaccine ecosystem.
BioNTech SE was incorporated in 2008 and is based in Mainz, Germany.",Data/company_logos_stock_analysis\BioNTech_SE_logo.svg,https://stockanalysis.com/stocks/bntx/,Germany,2008,Biotechnology,Healthcare,"6,133",Ugur Sahin,"An der Goldgrube 12
Mainz, 55131
Germany",49 6131 9084 0,biontech.de,BNTX,NASDAQ,January - December,EUR,0001776985,09075V102,US09075V1026,2836,"Oct 10, 2019",,,$15.00,
"BeiGene, Ltd.","BeiGene, Ltd., an oncology company, engages in discovering and developing various treatments for cancer patients in the United States, China, Europe, and internationally.
Its commercial stage products include BRUKINSA, a small molecule inhibitor of Bruton’s Tyrosine Kinase (BTK) for the treatment of various blood cancers; TEVIMBRA, an anti-PD-1 antibody immunotherapy for the treatment of various solid tumor and blood cancers; and PARTRUVIX, a selective small molecule inhibitor of PARP1 and PARP2 enzymes that is being evaluated as a monotherapy and in combinations for the treatment of various solid tumors.
The company’s clinical stage products comprise BGB-11417, a small molecule Bcl-2 inhibitor; BGB-16673, a BTK‑targeting chimeric degradation activation compound active against wild‑type and mutant BTK; BGB-10188; BGB-21447, a Bcl-2 inhibitor; Ociperlimab (BGB-A1217), a TIGIT inhibitor; Zanidatamab, a bispecific HER2-targeted antibody; Surzebiclimab (BGB-A425), a TIM-3 inhibitor; BGB-A445, an OX40 agonist antibody; BGB-15025, a small molecule inhibitor of HPK1; BGB-24714, a SMAC mimetic; BGB-26808, a HPK-1 inhibitor; Lifirafenib and BGB-3245 that are inhibitors of RAF; BGB-30813; BGB-A3055, an anti-CCR8 antibody; and BGB-43395, a CDK-4 inhibitor.
It also has various preclinical programs. The company has license agreements with Ensem Therapeutics, Inc.; Shandong Luye Pharmaceutical Co., Ltd.; Shoreline Biosciences, Inc.; Nanjing Leads Biolabs, Inc.; EUSA Pharma; Assembly Biosciences, Inc.; Bio-Thera Solutions, Ltd.; Amgen Inc.; and Beijing Novartis Pharma Co., Ltd. BeiGene, Ltd. was incorporated in 2010 and is based in Camana Bay, the Cayman Islands.","Data/company_logos_stock_analysis\BeiGene,_Ltd._logo.svg",https://stockanalysis.com/stocks/onc/,Cayman Islands,2010,Biotechnology,Healthcare,"10,600",John Oyler,"94 Solaris Avenue
Camana Bay, KY1-1108
Cayman Islands",345-949-4123,beigene.com,ONC,NASDAQ,January - December,CNY,0001651308,,,2834,,,98-1209416,,
Takeda Pharmaceutical Company Limited,"Takeda Pharmaceutical Company Limited engages in the research, development, manufacture, marketing, and out-licensing of pharmaceutical products in Japan and internationally.
It offers pharmaceutical products in the areas of gastroenterology, rare diseases, plasma derived therapies, immunology, oncology, and neuroscience.
The company provides its products under the Entyvio, Gattex/Revestive, Takecab/Vocinti, EOHILIA, Alofisel, Dexilant, Pantoloc/Controloc, Adynovate/Adynovi, Feiba, Recombinate, Hemofil/Immunate/Immunine, Takhzyro, Livtencity, ADZYNMA, Elaprase, Replagal, Advate, Flexbumin, Vpriv, Gammagard Liquid/Kiovig, Hyqvia, Cuvitru, Exkivity, FRUZAQLA, Ninlaro, Velcade, Azilva-F, Lotriga, Iclusig, Leuplin/Enantone, Adcetris, vyvanse/elvanse, Trintellix, QDENGA, and Alunbrig brands.
It has in-license agreement with BioMarin, Luxna Biotech, GlaxoSmithKline, Halozyme, and Kamada; collaboration with Neurocrine Biosciences, Inc., Seagen Inc., Anima Biotech, Denali Therapeutics, KSQ Therapeutics, Noile-Immune Biotech, Center for iPS Cell Research Application, Kyoto University (CiRA), and Charles River Laboratories; licensing agreement with Mirum Pharmaceuticals and Twist Bioscience, UCSD/Fortis Advisors, PeptiDream, MD Anderson Cancer Center, Teva Pharmaceutical Industries, and Xenetic Biosciences; collaboration and licensing agreement with Arrowhead Pharmaceuticals Inc., Engitix, Genevant Sciences Corporation, Sosei Heptares, Zedira/Dr.
Falk Pharma, Exelixis, Inc., GlaxoSmithKline, Heidelberg Pharma, HUTCHMED, Presage Biosciences, Codexis, Inc., Ensoma, Envozyne, KM Biologics, and Selecta BioScience, and Ovid Therapeutics Inc.; and collaboration with ZEDIRA GmbH and Dr.
Falk Pharma GmbH. It has research collaboration and licensing agreement with Crescendo Biologics, Code Bio, Immusoft, Poseida Therapeutics, and Selecta Biosciences.
The company was founded in 1781 and is headquartered in Tokyo, Japan.",Data/company_logos_stock_analysis\Takeda_Pharmaceutical_Company_Limited_logo.svg,https://stockanalysis.com/stocks/tak/,Japan,1781,Drug Manufacturers - Specialty & Generic,Healthcare,"49,281",Christophe Weber,"1-1, Nihonbashi-Honcho 2-chome, Chuo-ku
Tokyo, 103-8668
Japan",81 3 3278-2111,takeda.com,TAK,NYSE,April - March,JPY,0001395064,874060205,US8740602052,2834,,,,,
argenx SE,"argenx SE, a biotechnology company, engages in the developing of various therapies for the treatment of autoimmune diseases in the United States, Japan, Europe, Middle East, Africa, and China.
Its lead product candidate is efgartigimod for the treatment of patients with myasthenia gravis, immune thrombocytopenia, pemphigus vulgaris, generalized myasthenia gravis, chronic inflammatory demyelinating polyneuropathy, thyroid eye disease, bullous pemphigoid, myositis, primary sjögren’s syndrome, post-covid postural orthostatic tachycardia syndrome, membranous nephropathy, lupus nephropathy, anca-associated vasculitis, and antibody mediated rejection; ENHANZE SC; Empasiprubart for multifocal motor neuropath, delayed graft function, and dermatomyositis; and ARGX-119 for congenital myasthenic syndrome and amyotrophic lateral sclerosis.
The company is developing ARGX-213 targets FcRn; ARGX-121 and ARGX-220 targets immune system; ARGX-109 targets IL-6; ARGX-118 for inflammation; and ARGX-109, as well as cusatuzumab, ARGX-112, ARGX-114, and ARGX-115.
It owns VYVGART; VYVGART HYTRULO; VYVDURA; ARGENX; ABDEG; NHANCE; SIMPLE ANTIBODY; and ARGENXMEDHUB. The company has strategic partnership with AbbVie S.À.R.L., Zai Lab Limited, and LEO Pharma A/S; and collaboration and license agreement with Genor Biopharma Co. Ltd, Université Catholique de Louvain, Sopartec S.A., NYU Langone Health, Leiden University Medical Center, AgomAb Therapeutics NV, Broteio Pharma B.V., VIB vzw, University of Texas, BioWa, Inc., and Shire International GmbH.
It has collaboration agreement with Genmab A/S to discover, develop, and commercialize novel therapeutic antibodies with applications in immunology and oncology, as well as a strategic collaboration with IQVIA Holdings Inc. to provide safety systems and services.
argenx SE was incorporated in 2008 and is based in Amsterdam, the Netherlands.",Data/company_logos_stock_analysis\argenx_SE_logo.svg,https://stockanalysis.com/stocks/argx/,Netherlands,2008,Biotechnology,Healthcare,"1,148",Timothy Van Hauwermeiren,"Laarderhoogtweg 25
Amsterdam, 1101EB
Netherlands",31 10 703 8441,argenx.com,ARGX,NASDAQ,January - December,USD,0001697862,04016X101,NL0010832176,2836,"May 18, 2017",,,,
Teva Pharmaceutical Industries Limited,"Teva Pharmaceutical Industries Limited develops, manufactures, markets, and distributes generic medicines, specialty medicines, and biopharmaceutical products in North America, Europe, Israel, and internationally.
It offers generic medicines in various dosage forms, such as tablets, capsules, injectables, inhalants, liquids, transdermal patches, ointments, and creams; sterile products, hormones, high-potency drugs, and cytotoxic substances in parenteral and solid dosage forms; and generic products with medical devices and combination products.
The company focuses on the central nervous system (CNS), respiratory, and oncology areas. It provides active pharmaceutical ingredients, as well as contract manufacturing services; and operates an out-licensing platform that offers a portfolio of products to other pharmaceutical companies.
The company also offers BENDEKA and TREANDA injections for the treatment of chronic lymphocytic leukemia and indolent b-cell non-hodgkin’s lymphoma; GRANIX; TRISENOX; LONQUEX; and TEVAGRASTIM/RATIOGRASTIM.
In addition, it provides COPAXONE for the treatment of relapsing forms of multiple sclerosis; AJOVY for the preventive treatment of migraine in adults; AUSTEDO for the treatment of neurodegenerative and movement disorders associated with Huntington’s disease and tardive dyskinesia; UZEDY for the treatment of schizophrenia; ProAir RespiClick inhalation powder; QVAR for treatment for asthma; BRALTUS, a long-acting muscarinic antagonist; CINQAIR/CINQAERO injection; DuoResp Spiromax, an inhaled corticosteroid and long-acting beta-agonist bronchodilator; and AirDuo RespiClick fluticasone propionate and salmeterol inhalation powder.
The company offers its OTC products under SUDOCREM, NasenDuo, DICLOX FORTE, OLFEN Max, and FLEGAMINA brand names.
It has collaboration agreements with MedinCell; Sanofi; Alvotech; and Biolojic Design Ltd., as well as license agreement with MODAG GmbH.
The company was founded in 1901 and is based in Tel Aviv, Israel.",Data/company_logos_stock_analysis\Teva_Pharmaceutical_Industries_Limited_logo.svg,https://stockanalysis.com/stocks/teva/,Israel,1901,Drug Manufacturers - Specialty & Generic,Healthcare,"37,851",Richard Francis,"124 Dvora HaNevi’a Street
Tel Aviv, 6944020
Israel",972 3 914 8213,tevapharm.com,TEVA,NYSE,January - December,USD,0000818686,881624209,US8816242098,2834,,,,,
"Alnylam Pharmaceuticals, Inc.","Alnylam Pharmaceuticals, Inc., a biopharmaceutical company, focuses on discovering, developing, and commercializing novel therapeutics based on ribonucleic acid interference.
Its marketed products include ONPATTRO (patisiran) for the treatment of the polyneuropathy of hereditary transthyretin-mediated amyloidosis in adults; AMVUTTRA for the treatment of hATTR amyloidosis with polyneuropathy in adults; GIVLAARI for the treatment of adults with acute hepatic porphyria; and OXLUMO for the treatment of primary hyperoxaluria type 1.
In addition, the company develops patisiran for the treatment of transthyretin amyloidosis, or ATTR amyloidosis, with cardiomyopathy; cemdisiran to treat complement-mediated diseases; Belcesiran for the treatment of alpha-1 liver disease; Elebsiran to treat chronic HBV infection; Zilebesiran to treat hypertension; ALN-APP to treat Alzheimer’s disease and cerebral amyloid angiopathy; and ALN-HSD to treat NASH.
Further, it offers Fitusiran for the treatment of hemophilia, Inclisiran to treat hypercholesterolemia, lumasiran for the treatment of advanced PH1, and vutrisiran for the treatment of ATTR amyloidosis, which is in phase 3 clinical trial.
Alnylam Pharmaceuticals, Inc. has strategic collaborations with Regeneron Pharmaceuticals, Inc. to discover, develop, and commercialize RNAi therapeutics for a range of diseases by addressing therapeutic targets expressed in the eye and CNS; and Roche to develop pharmaceutical products containing zilebesiran.
It also has license and collaboration agreements with Novartis AG; Vir Biotechnology, Inc.; Dicerna Pharmaceuticals, Inc.; Ionis Pharmaceuticals, Inc.; and PeptiDream, Inc. The company was founded in 2002 and is headquartered in Cambridge, Massachusetts.","Data/company_logos_stock_analysis\Alnylam_Pharmaceuticals,_Inc._logo.svg",https://stockanalysis.com/stocks/alny/,United States,2002,Biotechnology,Healthcare,"2,100",Yvonne Greenstreet,"675 West Kendall Street, Henri A. Termeer Square
Cambridge, Massachusetts 02142
United States",617 551 8200,alnylam.com,ALNY,NASDAQ,January - December,USD,0001178670,02043Q107,US02043Q1076,2834,"May 28, 2004",Common Stock,77-0602661,,
"Regeneron Pharmaceuticals, Inc.","Regeneron Pharmaceuticals, Inc. discovers, invents, develops, manufactures, and commercializes medicines for treating various diseases worldwide.
The company’s products include EYLEA injection to treat wet age-related macular degeneration and diabetic macular edema; myopic choroidal neovascularization; diabetic retinopathy; neovascular glaucoma; and retinopathy of prematurity.
It also provides Dupixent injection to treat atopic dermatitis and asthma in adults and pediatrics; Libtayo injection to treat metastatic or locally advanced cutaneous squamous cell carcinoma; Praluent injection for heterozygous familial hypercholesterolemia or clinical atherosclerotic cardiovascular disease in adults; REGEN-COV for covid-19; and Kevzara solution for treating rheumatoid arthritis in adults.
In addition, the company offers Inmazeb injection for infection caused by Zaire ebolavirus; ARCALYST injection for cryopyrin-associated periodic syndromes, including familial cold auto-inflammatory syndrome and muckle-wells syndrome; and ZALTRAP injection for intravenous infusion to treat metastatic colorectal cancer; and develops product candidates for treating patients with eye, allergic and inflammatory, cardiovascular and metabolic, infectious, and rare diseases; and cancer, pain, and hematologic conditions.
It has collaboration with Mammoth Biosciences, Inc. to research, develop and commercialize in vivo CRISPR-based gene editing therapies for multiple tissues and cell types; and with Sonoma Biotherapeutics, Inc. to discover, develop, and commercialize engineered regulatory T cell therapies.
The company was incorporated in 1988 and is headquartered in Tarrytown, New York.","Data/company_logos_stock_analysis\Regeneron_Pharmaceuticals,_Inc._logo.svg",https://stockanalysis.com/stocks/regn/,United States,1988,Biotechnology,Healthcare,"13,450",Leonard Schleifer,"777 Old Saw Mill River Road
Tarrytown, New York 10591-6707
United States",914 847 7000,regeneron.com,REGN,NASDAQ,January - December,USD,0000872589,75886F107,US75886F1075,2834,"Apr 2, 1991",Common Stock,13-3444607,,
